Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
1168,283,61057,78321,Tuesday,2
1169,283,61057,78321,Tuesday,2
1170,283,64033,50333,Sunday,3
1171,283,64033,50333,Sunday,3
1172,283,64033,50333,Sunday,3
1173,283,66071,77896,Tuesday,2
1174,283,66071,77896,Tuesday,2
1175,283,78321,51558,Monday,2
1176,283,78321,51558,Monday,2
1177,283,78321,51558,Tuesday,2
1178,283,78321,51558,Tuesday,2
1179,283,78321,51558,Wednesday,3
1180,283,78321,51558,Wednesday,3
1181,283,78321,51558,Wednesday,3
1182,283,78321,51968,Monday,3
1183,283,78321,51968,Monday,3
1184,283,78321,51968,Monday,3
1185,283,78321,51968,Thursday,2
1186,283,78321,51968,Thursday,2
1187,283,78321,51968,Tuesday,4
1188,283,78321,51968,Tuesday,4
1189,283,78321,51968,Tuesday,4
1190,283,78321,51968,Tuesday,4
1191,283,78321,51968,Wednesday,2
1192,283,78321,51968,Wednesday,2
1193,283,78321,51969,Tuesday,5
1194,283,78321,51969,Tuesday,5
1195,283,78321,51969,Tuesday,5
1196,283,78321,51969,Tuesday,5
1197,283,78321,51969,Tuesday,5
1198,283,78321,51969,Wednesday,3
1199,283,78321,51969,Wednesday,3
1200,283,78321,51969,Wednesday,3
1201,283,78322,51558,Monday,3
1202,283,78322,51558,Monday,3
1203,283,78322,51558,Monday,3
1204,283,78322,51969,Monday,3
1205,283,78322,51969,Monday,3
1206,283,78322,51969,Monday,3
1207,283,78322,51969,Thursday,2
1208,283,78322,51969,Thursday,2
1209,283,78322,51969,Tuesday,3
1210,283,78322,51969,Tuesday,3
1211,283,78322,51969,Tuesday,3
1212,283,78322,51969,Wednesday,3
1213,283,78322,51969,Wednesday,3
1214,283,78322,51969,Wednesday,3
1228,292,47816,75312,Sunday,2
1229,292,47816,75312,Sunday,2
1230,292,48204,75312,Sunday,2
1231,292,48204,75312,Sunday,2
1232,292,66058,75312,Monday,3
1233,292,66058,75312,Monday,3
1234,292,66058,75312,Monday,3
1235,292,66059,75312,Monday,2
1236,292,66059,75312,Monday,2
1237,292,66059,75312,Sunday,2
1238,292,66059,75312,Sunday,2
1239,292,66071,75312,Sunday,2
1240,292,66071,75312,Sunday,2
1241,292,66449,75312,Monday,9
1242,292,66449,75312,Monday,9
1243,292,66449,75312,Monday,9
1244,292,66449,75312,Monday,9
1245,292,66449,75312,Monday,9
1246,292,66449,75312,Monday,9
1247,292,66449,75312,Monday,9
1248,292,66449,75312,Monday,9
1249,292,66449,75312,Monday,9
1250,292,66449,75312,Saturday,3
1251,292,66449,75312,Saturday,3
1252,292,66449,75312,Saturday,3
1253,292,66449,75312,Sunday,4
1254,292,66449,75312,Sunday,4
1255,292,66449,75312,Sunday,4
1256,292,66449,75312,Sunday,4
1257,292,75312,66058,Monday,5
1258,292,75312,66058,Monday,5
1259,292,75312,66058,Monday,5
1260,292,75312,66058,Monday,5
1261,292,75312,66058,Monday,5
1262,292,75312,66449,Monday,3
1263,292,75312,66449,Monday,3
1264,292,75312,66449,Monday,3
1265,292,75736,66058,Monday,6
1266,292,75736,66058,Monday,6
1267,292,75736,66058,Monday,6
1268,292,75736,66058,Monday,6
1269,292,75736,66058,Monday,6
1270,292,75736,66058,Monday,6
1271,292,75736,66449,Monday,2
1272,292,75736,66449,Monday,2
1273,292,75737,66058,Monday,3
1274,292,75737,66058,Monday,3
1275,292,75737,66058,Monday,3
1276,292,75737,66449,Monday,2
1277,292,75737,66449,Monday,2
1362,309,51972,75313,Friday,2
1363,309,51972,75313,Friday,2
1364,309,51972,75313,Saturday,3
1365,309,51972,75313,Saturday,3
1366,309,51972,75313,Saturday,3
1367,309,51972,75313,Sunday,3
1368,309,51972,75313,Sunday,3
1369,309,51972,75313,Sunday,3
1370,309,51972,75313,Thursday,2
1371,309,51972,75313,Thursday,2
1372,309,66940,78354,Wednesday,2
1373,309,66940,78354,Wednesday,2
1374,309,69852,75313,Friday,2
1375,309,69852,75313,Friday,2
1376,309,75312,50328,Wednesday,2
1377,309,75312,50328,Wednesday,2
1378,309,75313,51150,Sunday,2
1379,309,75313,51150,Sunday,2
1380,309,75736,50739,Monday,2
1381,309,75736,50739,Monday,2
1382,309,75736,50739,Saturday,2
1383,309,75736,50739,Saturday,2
1384,309,75736,51150,Friday,5
1385,309,75736,51150,Friday,5
1386,309,75736,51150,Friday,5
1387,309,75736,51150,Friday,5
1388,309,75736,51150,Friday,5
1389,309,75736,51150,Monday,3
1390,309,75736,51150,Monday,3
1391,309,75736,51150,Monday,3
1392,309,75736,51150,Saturday,4
1393,309,75736,51150,Saturday,4
1394,309,75736,51150,Saturday,4
1395,309,75736,51150,Saturday,4
