,VehId,tile_ID_x,tile_ID_y,day_x,contagem
3682,276,64462,76704,Tuesday,3
3690,276,74544,75866,Wednesday,3
3693,276,74544,77129,Tuesday,7
3694,276,74544,77129,Wednesday,6
3697,276,74545,75866,Wednesday,3
3706,276,74548,75866,Wednesday,2
3708,276,74548,77129,Tuesday,8
3709,276,74548,77129,Wednesday,2
3712,276,74549,77129,Wednesday,2
3720,276,74972,77129,Tuesday,2
3731,276,75867,74546,Tuesday,4
3732,276,75867,74546,Wednesday,3
3737,276,76292,74544,Tuesday,3
3738,276,76292,74544,Wednesday,4
3740,276,76292,74545,Tuesday,10
3741,276,76292,74545,Wednesday,4
3742,276,76292,74546,Monday,2
3743,276,76292,74546,Tuesday,3
3744,276,76292,74546,Wednesday,7
3746,276,76292,74549,Tuesday,6
3747,276,76292,74549,Wednesday,3
3749,276,76704,74545,Tuesday,2
3759,276,76705,64463,Tuesday,2
3760,276,76705,64463,Wednesday,2
3764,276,76705,74544,Tuesday,4
3765,276,76705,74544,Wednesday,2
3766,276,76705,74545,Tuesday,2
3767,276,76705,74545,Wednesday,2
3768,276,76705,74546,Tuesday,3
3770,276,76705,74547,Monday,2
3777,276,77129,74546,Wednesday,2
3785,276,77130,74544,Tuesday,3
3786,276,77130,74544,Wednesday,2
3787,276,77130,74545,Monday,2
3788,276,77130,74545,Tuesday,4
3789,276,77130,74545,Wednesday,5
3791,276,77130,74546,Tuesday,4
3792,276,77130,74546,Wednesday,4
3793,276,77130,74547,Monday,2
3796,276,77130,74549,Monday,2
3798,276,77130,74549,Wednesday,2
3804,278,38059,50385,Thursday,2
3826,278,50386,44179,Thursday,3
3833,278,50386,48209,Thursday,3
3851,282,39319,45827,Sunday,2
3856,282,42530,47054,Friday,2
3860,282,43357,47054,Saturday,2
3861,282,43357,47054,Sunday,3
3873,282,45813,47054,Sunday,2
3916,282,51163,74938,Friday,2
3930,282,57358,75364,Saturday,2
3976,282,78354,51575,Friday,2
4009,283,53200,77896,Thursday,2
4013,283,53200,78321,Thursday,2
4031,283,61057,78321,Tuesday,2
4038,283,64033,50333,Sunday,3
4051,283,66071,77896,Tuesday,2
4075,283,78321,51558,Monday,2
4076,283,78321,51558,Tuesday,2
4077,283,78321,51558,Wednesday,3
4078,283,78321,51968,Monday,3
4079,283,78321,51968,Thursday,2
4080,283,78321,51968,Tuesday,4
4081,283,78321,51968,Wednesday,2
4084,283,78321,51969,Tuesday,5
4085,283,78321,51969,Wednesday,3
4094,283,78322,51558,Monday,3
4098,283,78322,51969,Monday,3
4099,283,78322,51969,Thursday,2
4100,283,78322,51969,Tuesday,3
4101,283,78322,51969,Wednesday,3
4114,285,26961,20908,Friday,2
4151,285,75347,20908,Friday,2
4163,285,78354,53200,Saturday,2
4164,285,78354,53612,Saturday,2
4165,285,78354,53613,Saturday,5
4178,292,47816,75312,Sunday,2
4180,292,48204,75312,Sunday,2
4217,292,66058,75312,Monday,3
4221,292,66059,75312,Monday,2
4222,292,66059,75312,Sunday,2
4223,292,66071,75312,Sunday,2
4232,292,66449,75312,Monday,9
4233,292,66449,75312,Saturday,3
4234,292,66449,75312,Sunday,4
4251,292,75312,66058,Monday,5
4252,292,75312,66449,Monday,3
4265,292,75736,66058,Monday,6
4267,292,75736,66449,Monday,2
4272,292,75737,66058,Monday,3
4273,292,75737,66449,Monday,2
4300,301,22308,23916,Thursday,2
4301,301,23915,20542,Tuesday,2
4305,301,23916,20908,Tuesday,2
4329,301,27776,50385,Friday,5
4330,301,27776,50385,Thursday,3
4345,301,29711,23916,Tuesday,2
4353,301,29718,27380,Tuesday,2
4360,301,29719,26992,Wednesday,2
4361,301,29719,27380,Friday,2
4362,301,29719,27380,Thursday,2
4365,301,29719,50385,Thursday,2
4408,301,49956,27386,Friday,2
4409,301,49956,27386,Thursday,3
4411,301,49956,27386,Wednesday,2
4412,301,49956,27387,Tuesday,3
4424,301,50386,54000,Wednesday,2
4452,301,54413,27380,Tuesday,2
4453,301,54413,31284,Wednesday,2
4490,303,66449,66939,Friday,3
4495,303,66520,66449,Friday,3
4497,303,75313,66449,Friday,2
4551,304,77480,51972,Saturday,2
4555,304,78322,64044,Saturday,2
4558,304,78354,64044,Saturday,3
4565,307,26204,20908,Monday,2
4575,307,48204,66030,Sunday,3
4596,307,66449,75312,Monday,3
4597,307,66449,75312,Sunday,5
4610,307,75312,66449,Monday,3
4611,307,75312,66449,Sunday,2
4613,307,75313,66449,Sunday,5
4644,308,46242,76704,Tuesday,2
4712,308,77130,49923,Tuesday,2
4734,309,51972,75313,Friday,2
4736,309,51972,75313,Saturday,3
4737,309,51972,75313,Sunday,3
4738,309,51972,75313,Thursday,2
4744,309,66940,78354,Wednesday,2
4749,309,69852,75313,Friday,2
4753,309,75312,50328,Wednesday,2
4759,309,75313,51150,Sunday,2
4767,309,75736,50739,Monday,2
4768,309,75736,50739,Saturday,2
4770,309,75736,51150,Friday,5
4771,309,75736,51150,Monday,3
4772,309,75736,51150,Saturday,4
4773,309,75736,51150,Sunday,5
4774,309,75736,51150,Thursday,4
4775,309,75736,51150,Tuesday,2
4779,309,75736,51972,Friday,7
4781,309,75736,51972,Saturday,5
4783,309,75736,51972,Thursday,4
4790,309,75737,50328,Tuesday,2
4795,309,75737,51150,Friday,2
4796,309,75737,51150,Monday,2
4797,309,75737,51150,Saturday,2
4800,309,75737,51150,Tuesday,2
4801,309,75737,51972,Monday,2
4802,309,75737,51972,Saturday,2
4806,309,78354,50328,Tuesday,2
4807,309,78354,50328,Wednesday,7
